Date,Open,High,Low,Close,Adj Close,Volume
2026-03-10,195.63999938964844,200.17999267578125,195.4499969482422,197.4600067138672,196.46177673339844,5929200
2026-03-11,198.5800018310547,201.42999267578125,197.4900054931641,198.6699981689453,197.6656494140625,4995200
2026-03-12,193.6499938964844,194.7599945068359,189.75,190.0500030517578,189.0892333984375,8156800
2026-03-13,191.47000122070312,193.75,190.13999938964844,190.77999877929688,189.81553649902344,3688400
2026-03-16,194.32000732421875,196.2599945068359,192.42999267578125,194.1300048828125,193.1486053466797,4754900
2026-03-17,195.8699951171875,196.42999267578125,193.77000427246097,194.4499969482422,193.46697998046875,3385200
2026-03-18,194.44000244140625,195.5399932861328,189.9900054931641,190.77999877929688,189.81553649902344,5069200
2026-03-19,187.77000427246097,190.0,184.8999938964844,188.2899932861328,187.3381195068359,5868100
2026-03-20,188.52000427246097,190.3300018310547,185.83999633789065,187.19000244140625,186.24368286132812,15025200
2026-03-23,194.6000061035156,194.97000122070312,188.42999267578125,188.6300048828125,187.67640686035156,7452800
2026-03-24,186.9499969482422,196.3999938964844,186.9499969482422,194.6300048828125,193.6460723876953,7015200
2026-03-25,197.52000427246097,198.97000122070312,195.52000427246097,196.77000427246097,195.77525329589844,4505800
2026-03-26,196.1000061035156,197.07000732421875,192.8800048828125,193.41000366210935,192.4322509765625,6314400
2026-03-27,191.7100067138672,192.97000122070312,189.3300018310547,190.3300018310547,189.36781311035156,5792700
2026-03-30,191.61000061035156,192.7100067138672,184.9499969482422,186.4199981689453,185.47756958007812,6024700
2026-03-31,190.27999877929688,194.55999755859375,188.47000122070312,194.13999938964844,193.15855407714844,7277900
2026-04-01,194.27999877929688,197.2599945068359,194.27999877929688,196.3000030517578,195.30763244628903,5432000
2026-04-02,192.3800048828125,196.07000732421875,191.0,194.8699951171875,193.8848571777344,3408100
2026-04-06,196.9900054931641,199.55999755859375,195.8999938964844,199.4199981689453,198.4118499755859,4235600
2026-04-07,198.5099945068359,200.3800048828125,195.4600067138672,199.7400054931641,198.7302398681641,4659000
2026-04-08,206.6499938964844,209.86000061035156,206.16000366210935,208.8999938964844,207.84393310546875,7454600
2026-04-09,212.57000732421875,215.92999267578125,210.8800048828125,214.97999572753903,213.8931884765625,5499100
2026-04-10,216.3800048828125,217.32000732421875,213.9199981689453,214.72999572753903,213.6444549560547,4268000
2026-04-13,213.9499969482422,217.1999969482422,212.11000061035156,216.7100067138672,215.6144561767578,4630500
2026-04-14,217.19000244140625,219.4900054931641,214.3500061035156,218.8699951171875,217.76351928710935,5495200
2026-04-15,217.55999755859375,218.30999755859375,211.6999969482422,216.2899932861328,215.19656372070312,4459600
2026-04-16,216.72000122070312,224.02000427246097,216.72000122070312,223.1000061035156,221.97215270996097,6709000
2026-04-17,228.2599945068359,230.52999877929688,224.6699981689453,229.82000732421875,228.65818786621097,7091700
2026-04-20,232.57000732421875,233.97000122070312,230.02000427246097,233.6999969482422,232.5185546875,6123300
2026-04-21,234.5,236.0,230.63999938964844,233.1499938964844,231.97132873535156,6833300
2026-04-22,236.41000366210935,238.8000030517578,234.4900054931641,236.30999755859375,235.1153564453125,11463100
2026-04-23,260.30999755859375,284.1199951171875,259.30999755859375,282.2300109863281,280.80322265625,25659100
2026-04-24,287.8299865722656,287.8299865722656,272.010009765625,277.1400146484375,275.7389831542969,13943600
2026-04-27,276.1700134277344,277.0199890136719,267.6300048828125,269.5,268.1375732421875,9962700
2026-04-28,267.489990234375,270.69000244140625,264.239990234375,265.0,263.66033935546875,8369400
2026-04-29,269.6300048828125,272.44000244140625,267.55999755859375,269.2200012207031,267.8590087890625,7821400
2026-04-30,270.2300109863281,281.9200134277344,266.3399963378906,281.0799865722656,279.6590270996094,11066700
2026-05-01,280.1000061035156,281.8699951171875,276.5400085449219,281.0199890136719,279.5993347167969,4494300
2026-05-04,283.69000244140625,283.7900085449219,276.6400146484375,280.8900146484375,279.4700012207031,5525700
2026-05-05,280.5,282.5,275.5799865722656,281.0,281.0,7295200
2026-05-06,279.04998779296875,292.6400146484375,279.04998779296875,289.44000244140625,289.44000244140625,10183200
2026-05-07,286.2900085449219,287.6600036621094,281.0,285.239990234375,285.239990234375,7017900
2026-05-08,292.489990234375,292.5,286.3800048828125,287.79998779296875,287.79998779296875,8881500
2026-05-11,291.2900085449219,298.17999267578125,289.0,297.760009765625,297.760009765625,9347300
2026-05-12,296.239990234375,296.29998779296875,287.6300048828125,295.1700134277344,295.1700134277344,6431000
2026-05-13,302.739990234375,309.32000732421875,301.9200134277344,306.3399963378906,306.3399963378906,7546500
2026-05-14,306.6700134277344,310.2900085449219,303.5,308.1700134277344,308.1700134277344,5767800
2026-05-15,302.69000244140625,307.55999755859375,297.79998779296875,302.7300109863281,302.7300109863281,6661600
2026-05-18,308.54998779296875,309.19000244140625,295.4599914550781,300.6000061035156,300.6000061035156,6513100
2026-05-19,292.6099853515625,305.5,291.95001220703125,302.30999755859375,302.30999755859375,7296900
2026-05-20,305.2200012207031,305.739990234375,298.95001220703125,304.8800048828125,304.8800048828125,7660700
2026-05-21,300.8900146484375,303.07000732421875,294.7799987792969,298.3900146484375,298.3900146484375,5663700
2026-05-22,305.3999938964844,315.57000732421875,303.0,309.2099914550781,309.2099914550781,7129100
2026-05-26,318.42999267578125,326.4200134277344,315.3500061035156,324.8900146484375,324.8900146484375,8480000
2026-05-27,331.45001220703125,331.510009765625,313.17999267578125,317.45001220703125,317.45001220703125,6740600
2026-05-28,320.1600036621094,321.2900085449219,313.1099853515625,315.95001220703125,315.95001220703125,5884400
2026-05-29,316.4800109863281,319.0,303.7699890136719,305.67999267578125,305.67999267578125,16785100
2026-06-01,297.3800048828125,302.0,289.92999267578125,293.20001220703125,293.20001220703125,9623100
2026-06-02,301.260009765625,308.3999938964844,298.9800109863281,308.1199951171875,308.1199951171875,11136800
2026-06-03,308.6400146484375,312.760009765625,301.6400146484375,308.5899963378906,308.5899963378906,6730100
2026-06-04,305.5299987792969,310.7200012207031,303.29998779296875,305.3699951171875,305.3699951171875,7924400
2026-06-05,298.7200012207031,298.80999755859375,284.17999267578125,285.05999755859375,285.05999755859375,11937400
2026-06-08,293.7300109863281,295.5799865722656,287.5299987792969,290.8999938964844,290.8999938964844,7791100
2026-06-09,297.84,298.03,273.88,288.63,288.63,8878803
