Date,Open,High,Low,Close,Adj Close,Volume
2026-03-10,259.0,272.5899963378906,258.17999267578125,260.6400146484375,260.6400146484375,7866100
2026-03-11,251.5399932861328,258.0,242.82000732421875,251.41000366210935,251.41000366210935,6806900
2026-03-12,244.8000030517578,251.1199951171875,239.0800018310547,241.27000427246097,241.27000427246097,5718800
2026-03-13,248.3800048828125,251.66000366210935,241.2100067138672,242.7599945068359,242.7599945068359,3932600
2026-03-16,255.0099945068359,262.7900085449219,242.7599945068359,247.3699951171875,247.3699951171875,6165200
2026-03-17,235.2599945068359,252.4900054931641,230.1999969482422,245.8000030517578,245.8000030517578,7599900
2026-03-18,251.94000244140625,265.79998779296875,251.02999877929688,257.2099914550781,257.2099914550781,9952700
2026-03-19,246.0,276.239990234375,243.8800048828125,275.57000732421875,275.57000732421875,9382800
2026-03-20,280.5299987792969,281.1600036621094,241.0099945068359,253.6300048828125,253.6300048828125,51484800
2026-03-23,254.19000244140625,267.6700134277344,250.1499938964844,255.0500030517578,255.0500030517578,9205200
2026-03-24,255.25,277.3699951171875,255.1499938964844,272.3299865722656,272.3299865722656,9338800
2026-03-25,275.0,278.79998779296875,262.0,272.0400085449219,272.0400085449219,5314100
2026-03-26,261.1400146484375,263.0,243.0800018310547,243.2899932861328,243.2899932861328,6390900
2026-03-27,243.80999755859375,253.6000061035156,239.38999938964844,243.47999572753903,243.47999572753903,5433500
2026-03-30,247.5800018310547,248.92999267578125,215.5500030517578,219.6499938964844,219.6499938964844,8235200
2026-03-31,224.0800018310547,238.77000427246097,220.1999969482422,238.2100067138672,238.2100067138672,6152000
2026-04-01,244.13999938964844,256.8800048828125,244.13999938964844,247.8000030517578,247.8000030517578,6927800
2026-04-02,235.0,261.8999938964844,231.7899932861328,258.1600036621094,258.1600036621094,5188100
2026-04-06,262.79998779296875,267.5899963378906,249.72000122070312,253.22000122070312,253.22000122070312,3772200
2026-04-07,251.8699951171875,259.9800109863281,247.0,255.1000061035156,255.1000061035156,4027500
2026-04-08,277.29998779296875,284.9800109863281,265.7200012207031,281.7900085449219,281.7900085449219,7230100
2026-04-09,286.3999938964844,301.0,277.19000244140625,284.1700134277344,284.1700134277344,6374700
2026-04-10,295.95001220703125,310.9800109863281,275.69000244140625,307.5,307.5,7969000
2026-04-13,305.75,313.0,302.80999755859375,307.92999267578125,307.92999267578125,4516800
2026-04-14,317.0799865722656,320.0,299.0,313.4200134277344,313.4200134277344,4500100
2026-04-15,313.5,322.4800109863281,304.05999755859375,308.20001220703125,308.20001220703125,4953400
2026-04-16,315.0,332.0,312.9200134277344,328.0,328.0,6805400
2026-04-17,333.489990234375,345.1199951171875,332.25,345.0199890136719,345.0199890136719,5628900
2026-04-20,346.2799987792969,348.4700012207031,335.0,347.510009765625,347.510009765625,3872500
2026-04-21,352.94000244140625,362.5400085449219,340.7099914550781,343.7900085449219,343.7900085449219,5115900
2026-04-22,352.8900146484375,364.7999877929687,338.1000061035156,350.4700012207031,350.4700012207031,5202300
2026-04-23,342.95001220703125,356.8800048828125,326.2300109863281,337.67999267578125,337.67999267578125,6064200
2026-04-24,337.3599853515625,343.7699890136719,326.3399963378906,336.0899963378906,336.0899963378906,5294900
2026-04-27,330.5,333.92999267578125,309.44000244140625,321.5299987792969,321.5299987792969,6217500
2026-04-28,304.5,312.5199890136719,291.0,303.9700012207031,303.9700012207031,6393400
2026-04-29,308.4599914550781,311.4800109863281,298.0899963378906,304.92999267578125,304.92999267578125,6884400
2026-04-30,310.0,321.1400146484375,301.17999267578125,319.7099914550781,319.7099914550781,6165400
2026-05-01,317.010009765625,335.4800109863281,310.5799865722656,329.5,329.5,4620100
2026-05-04,344.95001220703125,348.29998779296875,323.32000732421875,329.8900146484375,329.8900146484375,6539000
2026-05-05,325.0299987792969,345.44000244140625,324.8800048828125,335.7300109863281,335.7300109863281,5601200
2026-05-06,341.9100036621094,354.20001220703125,331.2200012207031,344.6700134277344,344.6700134277344,9720600
2026-05-07,328.8399963378906,337.3399963378906,308.1700134277344,319.19000244140625,319.19000244140625,12673300
2026-05-08,325.92999267578125,339.4700012207031,315.0299987792969,335.260009765625,335.260009765625,7901600
2026-05-11,345.0,384.8500061035156,338.0,379.69000244140625,379.69000244140625,9856100
2026-05-12,372.9599914550781,381.9500122070313,348.989990234375,374.010009765625,374.010009765625,5990300
2026-05-13,401.5799865722656,413.0,378.5,403.7099914550781,403.7099914550781,6758900
2026-05-14,400.0899963378906,411.7099914550781,390.30999755859375,404.94000244140625,404.94000244140625,4791300
2026-05-15,382.7200012207031,394.8599853515625,370.94000244140625,382.4500122070313,382.4500122070313,6627000
2026-05-18,382.0,384.0,352.8500061035156,362.8299865722656,362.8299865722656,6342100
2026-05-19,354.4200134277344,365.94000244140625,336.70001220703125,353.6300048828125,353.6300048828125,5779000
2026-05-20,362.9700012207031,365.8599853515625,345.0199890136719,358.5,358.5,5065900
2026-05-21,361.0,382.4800109863281,357.75,378.0,378.0,4366200
2026-05-22,382.0,385.0,368.5199890136719,377.5700073242187,377.5700073242187,3980200
2026-05-26,383.3299865722656,387.6199951171875,369.1000061035156,381.3500061035156,381.3500061035156,4081200
2026-05-27,383.9299926757813,387.2799987792969,359.2200012207031,380.1799926757813,380.1799926757813,3989500
2026-05-28,387.8200073242187,393.5199890136719,369.3599853515625,376.9500122070313,376.9500122070313,3698100
2026-05-29,375.6499938964844,378.2699890136719,343.510009765625,361.4700012207031,361.4700012207031,11073100
2026-06-01,350.92999267578125,366.0,346.6300048828125,362.8999938964844,362.8999938964844,6065900
