Date,Open,High,Low,Close,Adj Close,Volume
2026-03-10,318.7200012207031,323.94000244140625,317.0799865722656,318.80999755859375,317.9391174316406,4351500
2026-03-11,319.2900085449219,321.5299987792969,316.3500061035156,319.2200012207031,318.3480224609375,2575600
2026-03-12,313.8999938964844,314.3699951171875,304.260009765625,307.2699890136719,306.4306335449219,4826800
2026-03-13,309.8800048828125,311.25,303.510009765625,306.07000732421875,305.23394775390625,2792700
2026-03-16,311.6700134277344,313.8599853515625,309.1099853515625,310.9200134277344,310.0707092285156,3254900
2026-03-17,312.20001220703125,315.2900085449219,310.7200012207031,313.6600036621094,312.8031921386719,2699700
2026-03-18,313.3299865722656,316.9100036621094,307.8800048828125,308.5899963378906,307.7470397949219,3555200
2026-03-19,303.3699951171875,313.5899963378906,300.9100036621094,310.44000244140625,309.5920104980469,3289100
2026-03-20,311.1499938964844,312.25,305.95001220703125,309.42999267578125,308.5847473144531,7029300
2026-03-23,315.4800109863281,317.5299987792969,311.7099914550781,312.19000244140625,311.33721923828125,3495300
2026-03-24,311.25,324.7900085449219,311.1000061035156,321.8299865722656,320.95086669921875,3404200
2026-03-25,325.0,328.17999267578125,320.6199951171875,322.0299987792969,321.15032958984375,2460900
2026-03-26,319.1000061035156,321.1199951171875,312.3900146484375,313.4200134277344,312.5638732910156,3923800
2026-03-27,310.8699951171875,313.19000244140625,306.17999267578125,307.44000244140625,306.6001892089844,3282100
2026-03-30,314.0299987792969,314.0299987792969,300.55999755859375,303.1000061035156,302.2720642089844,3914600
2026-03-31,309.3699951171875,319.32000732421875,306.5,318.1400146484375,317.2709655761719,4285900
2026-04-01,318.20001220703125,325.75,317.2099914550781,320.5799865722656,319.70428466796875,3145000
2026-04-02,310.2699890136719,321.7099914550781,309.7900085449219,318.3399963378906,317.47039794921875,2386700
2026-04-06,320.0,327.4599914550781,318.75,327.3599853515625,326.46575927734375,2353700
2026-04-07,323.7900085449219,327.510009765625,321.0,327.4100036621094,326.5156555175781,2344400
2026-04-08,345.80999755859375,349.0,341.9800109863281,346.2099914550781,345.2642822265625,4522200
2026-04-09,346.0,352.7799987792969,345.489990234375,351.3599853515625,350.40020751953125,2927400
2026-04-10,353.0,354.2900085449219,349.010009765625,350.1400146484375,349.1835632324219,2505100
2026-04-13,348.69000244140625,350.0799865722656,344.0,350.010009765625,349.0539245605469,2485100
2026-04-14,352.42999267578125,352.6700134277344,347.04998779296875,348.6000061035156,347.64776611328125,2320400
2026-04-15,347.0,349.04998779296875,341.32000732421875,347.94000244140625,346.98956298828125,2440900
2026-04-16,346.9700012207031,355.8500061035156,346.44000244140625,353.79998779296875,352.8335266113281,2198800
2026-04-17,359.6700134277344,372.4500122070313,357.82000732421875,371.4500122070313,370.4353637695313,5248200
2026-04-20,373.0199890136719,385.4599914550781,369.7000122070313,381.0499877929687,380.0090942382813,4003700
2026-04-21,383.0,383.6000061035156,373.3399963378906,375.2699890136719,374.2449035644531,3296900
2026-04-22,380.80999755859375,383.6000061035156,378.25,381.4200134277344,380.3781127929687,2517700
2026-04-23,397.8999938964844,408.3699951171875,395.7999877929687,403.8800048828125,402.7767639160156,4449600
2026-04-24,404.0700073242187,406.2999877929687,398.260009765625,399.5700073242187,398.4785461425781,4512300
