Date,Open,High,Low,Close,Adj Close,Volume
2026-03-10,154.41000366210938,154.5399932861328,153.00999450683594,153.14999389648438,152.52297973632812,17247500
2026-03-11,152.83999633789062,153.16000366210938,151.94000244140625,152.85000610351562,152.22421264648438,12503800
2026-03-12,151.9499969482422,152.49000549316406,150.02999877929688,150.16000366210938,149.54522705078125,15670500
2026-03-13,151.0399932861328,152.3000030517578,149.6699981689453,149.7899932861328,149.17672729492188,15129300
2026-03-16,150.75,151.72999572753906,150.3800048828125,151.00999450683594,150.39173889160156,10896600
2026-03-17,151.22000122070312,151.85000610351562,149.5399932861328,149.63999938964844,149.02735900878906,11938600
2026-03-18,148.72000122070312,149.0500030517578,147.00999450683594,147.13999938964844,146.53758239746094,15565400
2026-03-19,147.13999938964844,148.08999633789062,146.3000030517578,146.61000061035156,146.009765625,16913000
2026-03-20,146.47999572753906,147.02000427246094,144.66000366210938,145.3300018310547,144.73500061035156,16582200
2026-03-23,146.55999755859375,146.77000427246094,144.60000610351562,144.77000427246094,144.77000427246094,21815400
2026-03-24,143.9499969482422,145.3000030517578,143.3800048828125,144.7899932861328,144.7899932861328,24230900
2026-03-25,145.69000244140625,146.69000244140625,145.35000610351562,146.24000549316406,146.24000549316406,17743300
2026-03-26,145.75,146.91000366210938,145.6300048828125,145.74000549316406,145.74000549316406,13321000
2026-03-27,145.72000122070312,145.8000030517578,143.07000732421875,143.25999450683594,143.25999450683594,12932200
2026-03-30,144.3000030517578,144.6300048828125,143.42999267578125,143.82000732421875,143.82000732421875,14799700
2026-03-31,144.80999755859375,146.75,144.60000610351562,146.61000061035156,146.61000061035156,17866000
2026-04-01,147.22000122070312,148.75999450683594,146.9499969482422,147.72999572753906,147.72999572753906,16899200
2026-04-02,146.92999267578125,148.36000061035156,146.27000427246094,146.80999755859375,146.80999755859375,11087900
2026-04-06,146.27999877929688,147.13999938964844,145.75999450683594,146.27999877929688,146.27999877929688,7272600
2026-04-07,146.91000366210938,146.91000366210938,144.8800048828125,146.57000732421875,146.57000732421875,10263400
2026-04-08,148.1999969482422,149.6999969482422,147.5,149.6699981689453,149.6699981689453,8130700
2026-04-09,148.8300018310547,150.22000122070312,148.3000030517578,149.3300018310547,149.3300018310547,6406400
2026-04-10,149.77999877929688,149.83999633789062,147.11000061035156,147.30999755859375,147.30999755859375,6217800
2026-04-13,146.8800048828125,148.0500030517578,146.24000549316406,147.97000122070312,147.97000122070312,6182800
2026-04-14,147.3800048828125,149.60000610351562,147.24000549316406,148.8300018310547,148.8300018310547,7722300
2026-04-15,148.86000061035156,149.2100067138672,146.88999938964844,147.77000427246094,147.77000427246094,6669200
2026-04-16,147.19000244140625,148.1999969482422,146.2899932861328,146.61000061035156,146.61000061035156,9072300
2026-04-17,147.3699951171875,149.1199951171875,147.36000061035156,148.8000030517578,148.8000030517578,8338100
2026-04-20,148.4499969482422,148.74000549316406,147.14999389648438,147.4199981689453,147.4199981689453,6325700
2026-04-21,148.2899932861328,148.55999755859375,145.8800048828125,145.9199981689453,145.9199981689453,8735300
2026-04-22,146.50999450683594,147.5800018310547,146.00999450683594,146.3800048828125,146.3800048828125,8316900
2026-04-23,146.1999969482422,146.77000427246094,145.16000366210938,146.24000549316406,146.24000549316406,7612000
2026-04-24,145.24000549316406,145.52999877929688,143.67999267578125,144.17999267578125,144.17999267578125,7969700
2026-04-27,143.67999267578125,145.2100067138672,143.4199981689453,143.4600067138672,143.4600067138672,6571900
2026-04-28,144.57000732421875,144.86000061035156,143.27999877929688,143.83999633789062,143.83999633789062,8612400
2026-04-29,142.25999450683594,143.25,141.97000122070312,142.83999633789062,142.83999633789062,11885500
2026-04-30,143.67999267578125,146.2899932861328,143.66000366210938,145.99000549316406,145.99000549316406,12587800
2026-05-01,146.2899932861328,146.61000061035156,145.14999389648438,145.16000366210938,145.16000366210938,8865800
2026-05-04,144.55999755859375,145.2100067138672,144.32000732421875,144.72999572753906,144.72999572753906,10885900
2026-05-05,145.27999877929688,145.66000366210938,144.4199981689453,145.3000030517578,145.3000030517578,7174900
2026-05-06,145.36000061035156,146.14999389648438,144.89999389648438,145.39999389648438,145.39999389648438,10613500
2026-05-07,145.17999267578125,145.83999633789062,144.27000427246094,144.72000122070312,144.72000122070312,7608000
2026-05-08,144.58999633789062,145.07000732421875,143.17999267578125,143.49000549316406,143.49000549316406,10165400
2026-05-11,143.75,145.02000427246094,142.6699981689453,143.0399932861328,143.0399932861328,9255700
2026-05-12,143.80999755859375,146.63999938964844,143.19000244140625,145.85000610351562,145.85000610351562,11897200
2026-05-13,145.32000732421875,146.97999572753906,145.1300048828125,146.7100067138672,146.7100067138672,15841800
2026-05-14,146.85000610351562,147.39999389648438,145.94000244140625,146.6300048828125,146.6300048828125,7763800
2026-05-15,146.75999450683594,147.16000366210938,144.88999938964844,145.10000610351562,145.10000610351562,9039900
2026-05-18,144.5,145.7899932861328,144.1199951171875,145.72000122070312,145.72000122070312,7949200
2026-05-19,145.6199951171875,148.07000732421875,144.85000610351562,147.32000732421875,147.32000732421875,12388200
2026-05-20,147.5399932861328,148.02000427246094,146.2899932861328,147.1300048828125,147.1300048828125,10527900
2026-05-21,146.89999389648438,148.3000030517578,145.83999633789062,148.14999389648438,148.14999389648438,7157000
2026-05-22,149.08999633789062,150.32000732421875,149.0,149.88999938964844,149.88999938964844,6915200
2026-05-26,149.9499969482422,150.3000030517578,148.44000244140625,148.50999450683594,148.50999450683594,6590400
2026-05-27,148.69000244140625,150.1999969482422,148.27999877929688,148.7899932861328,148.7899932861328,10062500
2026-05-28,149.14999389648438,151.35000610351562,149.11000061035156,150.8800048828125,150.8800048828125,10397400
2026-05-29,150.85000610351562,151.0399932861328,149.10000610351562,149.47000122070312,149.47000122070312,13195800
2026-06-01,148.52000427246094,148.8800048828125,147.25999450683594,147.83999633789062,147.83999633789062,12582900
2026-06-02,146.75,147.27000427246094,145.30999755859375,146.39999389648438,146.39999389648438,12024300
2026-06-03,146.16000366210938,148.0500030517578,146.07000732421875,147.5500030517578,147.5500030517578,9836000
2026-06-04,150.3800048828125,152.5399932861328,150.2899932861328,152.0800018310547,152.0800018310547,14051800
2026-06-05,153.3800048828125,154.6999969482422,152.9199981689453,153.00999450683594,153.00999450683594,20723000
2026-06-08,153.24000549316406,154.47000122070312,152.41000366210938,152.64999389648438,152.64999389648438,10639500
2026-06-09,153.48,154.975,153.23,154.57,154.57,13114284
